# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Aug  2 01:24:21 2025
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,sy_dist,sy_disterr1,sy_disterr2
AB Pic b,,,,,12.30000000,,,0,4290.50000000,158.90000000,-158.90000000,0,,,,,K2 V,5285.00,10.00,-9.00,0,0.999394,0.029598,-0.022233,0,50.04750000,0.07350000,-0.07330000
AF Lep b,8030.00000000000,1800.00000000000,-1800.00000000000,0,13.10000000,,,0,1017.05090240,222.47988490,-190.69704420,0,1400.00,300.00,-300.00,0,F8 V,6130.00,60.00,-60.00,0,1.250000,0.060000,-0.060000,0,26.85640000,0.01890000,-0.01880000
AT2021ueyL b,4168.69000000000,2910.76000000000,-1713.98000000000,0,13.60000000,,,0,425.89006538,143.02278315,-158.91420350,0,,,,,M V,3680.00,307.00,-204.00,0,,,,,1040.00000000,740.00000000,-440.00000000
AU Mic b,8.46308000000,0.00006000000,-0.00006000000,0,3.95677019,0.14571675,-0.14571675,0,20.12000000,1.57000000,-1.72000000,0,600.00,17.00,-16.00,0,M1,3678.00,90.00,-88.00,0,0.744000,0.023000,-0.021000,0,9.72210000,0.00462500,-0.00462500
AU Mic c,18.85969000000,0.00008000000,-0.00008000000,0,2.52202066,0.24659758,-0.24659758,0,9.60000000,2.07000000,-2.31000000,0,459.00,13.00,-12.00,0,M1,3678.00,90.00,-88.00,0,0.744000,0.023000,-0.021000,0,9.72210000,0.00462500,-0.00462500
AU Mic d,12.73596000000,0.00793000000,-0.00793000000,0,1.02000000,,,0,1.05300000,0.51100000,-0.51100000,0,,,,,M1,3678.00,90.00,-88.00,0,0.744000,0.023000,-0.021000,0,9.72210000,0.00462500,-0.00462500
BD+03 2562 b,481.90000000000,2.70000000000,-2.80000000000,0,12.70000000,,,0,2034.11200000,413.17900000,-413.17900000,0,,,,,,4095.00,20.00,-20.00,0,32.350000,8.820000,-8.820000,0,1070.63000000,63.87500000,-63.87500000
BD+05 4868 A b,1.27186900000,0.00000100000,-0.00000100000,0,,,,,6.20000000,,,1,1820.00,45.00,-45.00,0,K V,4596.00,65.00,-64.00,0,0.690000,0.020000,-0.020000,0,43.56870000,0.09750000,-0.09710000
BD+14 4559 b,268.94000000000,0.99000000000,-0.99000000000,0,13.80000000,,,0,330.54320000,149.38010000,-149.38010000,0,,,,,K2 V,4864.00,101.00,-101.00,0,0.860000,0.040000,-0.040000,0,49.35200000,0.08460000,-0.08440000
BD+15 2375 b,153.22000000000,0.44000000000,-0.44000000000,0,13.80000000,,,0,337.21763000,85.81410000,-85.81410000,0,,,,,G5,4649.00,30.00,-30.00,0,8.950000,1.450000,-1.450000,0,768.04500000,45.03800000,-45.03800000
BD+15 2940 b,137.48000000000,0.34000000000,-0.34000000000,0,13.70000000,,,0,352.78000000,,,0,,,,,K0,4796.00,117.00,-117.00,0,14.700000,2.800000,-2.800000,0,426.42000000,6.44000000,-6.44000000
BD+20 2457 b,379.63000000000,2.01000000000,-2.01000000000,0,12.10000000,,,0,6807.63000000,,,0,,,,,K2 II,4137.00,10.00,-10.00,0,49.000000,26.000000,-26.000000,0,1539.71000000,189.92500000,-189.92500000
BD+20 2457 c,621.99000000000,10.20000000000,-10.20000000000,0,12.40000000,,,0,3963.17000000,,,0,,,,,K2 II,4137.00,10.00,-10.00,0,49.000000,26.000000,-26.000000,0,1539.71000000,189.92500000,-189.92500000
BD+20 274 b,578.20000000000,5.40000000000,-5.40000000000,0,13.00000000,,,0,1334.88600000,,,0,,,,,K5 III,4296.00,10.00,-10.00,0,17.300000,0.900000,-0.900000,0,1322.51000000,80.53500000,-80.53500000
BD+20 594 b,41.68550000000,0.00300000000,-0.00300000000,0,2.57807000,0.11209000,-0.11209000,0,22.24810000,9.53490000,-9.53490000,0,546.00,19.00,-18.00,0,G,5766.00,99.00,-99.00,0,1.080000,0.060000,-0.060000,0,179.46100000,1.25700000,-1.24000000
BD+45 564 b,307.88000000000,1.47000000000,-1.47000000000,0,13.60000000,,,0,432.24663352,38.13940884,-38.13940884,0,,,,,K1,5004.00,50.00,-50.00,0,0.813064,0.041485,-0.044083,0,53.62200000,0.19190000,-0.19050000
BD+48 738 b,392.60000000000,5.50000000000,-5.50000000000,0,13.90000000,,,0,289.22530000,,,0,,,,,K0 III,4414.00,15.00,-15.00,0,11.000000,1.000000,-1.000000,0,871.49300000,43.84900000,-43.84900000
BD+48 740 b,733.00000000000,5.00000000000,-8.00000000000,0,13.50000000,,,0,540.31100000,222.48100000,-222.48100000,0,,,,,K3 III,4534.00,8.00,-8.00,0,10.330000,1.810000,-1.810000,0,666.58900000,21.53350000,-21.53350000
BD+49 828 b,2590.00000000000,300.00000000000,-180.00000000000,0,13.50000000,,,0,508.50000000,127.10000000,-63.60000000,0,,,,,K0,4943.00,30.00,-30.00,0,7.600000,1.300000,-1.300000,0,442.04200000,7.65400000,-7.65400000
BD+55 362 b,265.59000000000,1.04000000000,-1.04000000000,0,14.00000000,,,0,228.83645304,25.42627256,-25.42627256,0,,,,,K3,5012.00,78.00,-78.00,0,0.896193,0.062857,-0.042550,0,52.56970000,0.09740000,-0.09710000
BD+60 1417 b,,,,,14.68376472,0.67253884,-0.67253884,0,4767.42610500,1589.14203500,-1589.14203500,0,1303.00,74.00,-74.00,0,K0,4993.00,124.00,-124.00,0,0.797000,0.051000,-0.051000,0,44.95430000,0.05930000,-0.05920000
BD+63 1405 b,1198.48000000000,60.79000000000,-60.79000000000,0,12.40000000,,,0,3305.41543280,413.17692910,-349.61124770,0,,,,,K0,5000.00,53.00,-53.00,0,0.804724,0.040718,-0.059493,0,38.04730000,0.03290000,-0.03290000
BD-06 1339 b,3.87280000000,0.00040000000,-0.00040000000,0,2.85000000,,,0,8.50000000,1.30000000,-1.30000000,0,,,,,K7/M0 V,4324.00,100.00,-100.00,0,0.686355,0.063406,-0.074042,0,20.26950000,0.02200000,-0.02180000
BD-06 1339 c,125.94000000000,0.44000000000,-0.44000000000,0,8.38000000,,,0,53.00000000,8.00000000,-8.00000000,0,,,,,K7/M0 V,4324.00,100.00,-100.00,0,0.686355,0.063406,-0.074042,0,20.26950000,0.02200000,-0.02180000
BD-08 2823 b,5.60000000000,0.02000000000,-0.02000000000,0,3.61000000,,,0,12.71320000,3.17830000,-3.17830000,0,,,,,K3 V,4816.00,114.00,-114.00,0,0.710000,0.040000,-0.040000,0,41.33420000,0.06850000,-0.06820000
BD-08 2823 c,237.60000000000,1.50000000000,-1.50000000000,0,12.50000000,,,0,104.00000000,10.00000000,-10.00000000,0,,,,,K3 V,4746.00,63.00,-63.00,0,0.710000,0.040000,-0.040000,0,41.33420000,0.06850000,-0.06820000
BD-10 3166 b,3.48777000000,0.00011000000,-0.00011000000,0,14.10000000,,,0,187.51970000,22.24810000,-22.24810000,0,,,,,K0 V,5393.00,44.00,-44.00,0,0.910000,0.040000,-0.040000,0,84.40690000,0.35370000,-0.35080000
BD-11 4672 b,1634.00000000000,13.00000000000,-14.00000000000,0,14.10000000,,,0,206.58950000,15.89150000,-19.06980000,0,,,,,K7V,4550.00,110.00,-110.00,0,0.639000,0.020000,-0.022000,0,27.16650000,0.03460000,-0.03460000
BD-11 4672 c,74.20000000000,0.06000000000,-0.08000000000,0,4.04000000,,,0,15.37000000,2.97000000,-2.81000000,0,,,,,K7V,4550.00,110.00,-110.00,0,0.639000,0.020000,-0.022000,0,27.16650000,0.03460000,-0.03460000
BD-13 2130 b,714.29999000000,5.30000000000,-5.30000000000,0,12.50000000,,,0,3108.37740000,1449.30480000,-1449.30480000,0,,,,,G5 IV/V,4545.00,71.00,-71.00,0,19.170000,4.960000,-4.960000,0,925.21400000,41.21100000,-41.21100000
BD-14 3065 b,4.28897310000,0.00000520000,-0.00000520000,0,21.59000000,1.05000000,-1.05000000,0,3932.00000000,290.00000000,-280.00000000,0,2001.00,31.00,-31.00,0,,6935.00,90.00,-90.00,0,2.350000,0.080000,-0.080000,0,589.42300000,16.59900000,-15.72900000
BD-17 63 b,655.57000000000,0.58000000000,-0.58000000000,0,12.80000000,,,0,1639.99458012,63.56568140,-63.56568140,0,,,,,K5 V,4714.00,93.00,-93.00,0,0.740000,0.040000,-0.040000,0,34.46030000,0.09290000,-0.09240000
BD-210397 b,1891.00000000000,56.00000000000,-48.00000000000,0,14.00000000,,,0,214.00000000,31.00000000,-32.00000000,0,,,,,K7 V,4051.00,239.00,-239.00,0,0.747000,0.088000,-0.088000,0,23.73240000,0.02280000,-0.02270000
BD-210397 c,6240.00000000000,151.00000000000,-156.00000000000,0,12.90000000,,,0,1525.57635360,190.69704420,-190.69704420,0,,,,,K7 V,4051.00,239.00,-239.00,0,0.747000,0.088000,-0.088000,0,23.73240000,0.02280000,-0.02270000
Barnard b,3.15420000000,0.00040000000,-0.00040000000,0,0.72000000,,,0,0.29900000,0.02600000,-0.02600000,0,438.00,,,0,M3.5-4 V,3195.00,28.00,-28.00,0,0.185000,0.006000,-0.006000,0,1.82655000,0.00097500,-0.00097500
Barnard c,4.12440000000,0.00060000000,-0.00060000000,0,0.74300000,,,0,0.33500000,0.03000000,-0.03000000,0,400.00,,,0,M3.5-4 V,3195.00,28.00,-28.00,0,0.185000,0.006000,-0.006000,0,1.82655000,0.00097500,-0.00097500
Barnard d,2.34020000000,0.00030000000,-0.00030000000,0,0.69400000,,,0,0.26300000,0.02400000,-0.02400000,0,483.00,,,0,M3.5-4 V,3195.00,28.00,-28.00,0,0.185000,0.006000,-0.006000,0,1.82655000,0.00097500,-0.00097500
Barnard e,6.73920000000,0.00300000000,-0.00300000000,0,0.63700000,,,0,0.19300000,0.03300000,-0.03300000,0,340.00,,,0,M3.5-4 V,3195.00,28.00,-28.00,0,0.185000,0.006000,-0.006000,0,1.82655000,0.00097500,-0.00097500
CD Cet b,2.29070000000,0.00012000000,-0.00012000000,0,1.82000000,,,0,3.95000000,0.42000000,-0.43000000,0,464.00,18.00,-18.00,0,M5.0 V,3130.00,51.00,-51.00,0,0.175000,0.006000,-0.006000,0,8.60715000,0.00658000,-0.00658000
CFBDSIR J145829+101343 b,10037.50000000000,2737.50000000000,-2737.50000000000,0,12.40000000,,,0,3337.10000000,1430.20000000,-1430.20000000,0,370.00,40.00,-40.00,0,,580.50,24.50,-24.50,0,,,,,23.10000000,2.40000000,-2.40000000
CFHTWIR-Oph 98 b,8040000.00000000000,470000.00000000000,-470000.00000000000,0,20.84870410,0.56044903,-0.56044903,0,2479.06157460,222.47988490,-254.26272560,0,1800.00,40.00,-40.00,0,M9-L1,2320.00,40.00,-40.00,0,0.245000,0.007000,-0.008000,0,,,
CHXR 73 b,,,,,12.30000000,,,0,3994.48600000,2662.99100000,-1664.36900000,0,,,,,M3.5,3099.00,128.00,-128.00,0,,,,,190.37400000,6.64700000,-6.22000000
CI Tau c,25.20000000000,1.70000000000,-1.80000000000,0,13.00000000,,,0,1144.18226520,95.34852210,-95.34852210,0,,,,,K7,3807.00,131.00,-131.00,0,1.880857,0.086711,-0.415068,0,157.99800000,1.19800000,-1.18000000
